unit_id,criteria_id,criteria,
1,1,1.1.1 Structure and function of the processor,
1,2,1.1.2 Types of processor,
1,3,"1.1.3 Input, output and storage",
1,4,1.2.1 Systems Software,
1,5,1.2.2 Applications Generation,
1,6,1.2.3 Software Development,
1,7,1.2.4 Types of Programming Language,
1,8,"1.3.1 Compression, Encryption and Hashing",
1,9,1.3.2 Databases,
1,10,1.3.3 Networks,
1,11,1.3.4 Web Technologies,
1,12,1.4.1 Data Types,
1,13,1.4.2 Data Structures,
1,14,1.4.3 Boolean Algebra,
1,15,1.5.1 Computing related legislation,
1,16,1.5.2 Moral and ethical Issues,
2,17,2.1.1 Thinking abstractly,
2,18,2.1.2 Thinking ahead,
2,19,2.1.3 Thinking procedurally,
2,20,2.1.4 Thinking logically,
2,21,2.1.5 Thinking concurrently,
2,22,2.2.1 Programming techniques,
2,23,2.2.2 Computational methods,
2,24,2.3.1 Algorithms,
