criteria_id,subcriteria,
1,(a) The Arithmetic and Logic Unit: ALU,
1,(a) Control Unit,
1,"(a) Registers (Program Counter; PC, Accumulator; ACC, Memory Address Register; MAR, Memory Data Register; MDR, Current Instruction Register; CIR). ",
1,"(a) Buses: data, address and control",
1,"(a) how ALU, CU, Registers and busses relate to assembly language programs.",
1,(b) The Fetch-Decode-Execute Cycle; including its effects on registers.,
1,"(c) The factors affecting the performance of the CPU: clock speed, number of cones, cache.",
1,(d) The use of pipelining in a processor to improve efficiency.,
1,"(e) Von Neumann, Harvard and contemporary processor architecture.",
2,(a) The differences between and uses of CISC and RISC processors,
2,(b) GPUs and their uses (including those not related to graphics).,
2,(c) Multicore and Parallel systems,
3,"(a) How different input, output and storage devices can be applied to the solution of different problems.",
3,"(b) The uses of magnetic, flash and optical storage devices.",
3,(c) RAM and ROM,
3,(d) Virtual storage.,
4,"(a) The need for, function and purpose of operating systems.",
4,"(b) Memory Management (paging, segmentation and virtual memory).",
4,"(c) Interrupts, the role of interrupts and Interrupt Service Routines (ISR), role within the Fetch-Decode-Execute Cycle.",
4,"(d) Scheduling: round robin, first come first served, multi-level feedback queues, shortest job first and shortest remaining time.",
4,"(e) Distributed, embedded, multi-tasking, multi-user and Real Time operating systems",
4,(f) BIOS,
4,(g) Device drivers,
4,"(h) Virtual machines, any instance where software is used to take on the function of a machine, including executing intermediate code or running an operating system within another.",
5,"(a) The nature of applications, justifying suitable applications for a specific purpose.",
5,(b) Utilities.,
5,(c) Open source vs closed source,
5,"(d) Translators:Interpreters, compilers and assemblers.",
5,"(e) Stages of compilation (lexical analysis, syntax analysis, code generation and optimisation).",
5,(f) Linkers and loaders and use of libraries,
6,"(a) Understand the waterfall lifecycle, agile methodologies, extreme programming, the spiral model and rapid application development",
6,(b) The relative merits and drawbacks of different methodologies and when they might be used.,
6,(c) Writing and following algorithms.,
7,(a) Need for and characteristics of a variety of programming paradigms.,
7,(b) Procedural languages.,
7,(c) Assembly language (including following and writing simple programs with the Little Man Computer instruction set). See appendix 5e,
7,"(d) Modes of addressing memory (immediate, direct, indirect and indexed).",
7,"(e) Object-oriented languages (see appendix 5e for pseudocode style) with an understanding of classes, objects, methods, attributes, inheritance, encapsulation and polymorphism.",


8,(a) Lossy vs Lossless compression,
8,(b) Run length encoding and dictionary coding for lossless compression.,
8,(c) Symmetric and asymmetric encryption,
8,(d) Different uses of hashing.,
9,"(a) Relational database, flat file, primary key, foreign key, secondary key, entity relationship modelling, normalisation and indexing. See appendix 5g",
9,"(b) Methods of capturing, selecting, managing and exchanging data.",
9,(c) Normalisation to 3NF,
9,(d) SQL  Interpret and modify. See appendix 5e.,
9,(e) Referential integrity.,
9,"(f) Transaction processing, ACID (Atomicity, Consistency, Isolation, Durability), record locking and redundancy.",
10,(a) Characteristics of networks and the importance of protocols and standards.,
10,(b) The internet structure:The TCP/IP Stack.,
10,(b) The internet structure: DNS,
10,(b) The internet structure:Protocol layering.,
10,(b) The internet structure:LANs and WANs.,
10,(b) The internet structure:Packet and circuit switching.,
10,"(c) Network security and threats, use of firewalls, proxies and encryption.",
10,(d) Network hardware,
10,(e) Client-server and peer to peer.,
11,"(a) HTML, CSS and JavaScript. See appendix 5e.",
11,(b) Search engine indexing,
11,(c) PageRank algorithm,
11,(d) Server and client side processing.,
12,"(a) Primitive data types, integer, real/floating point, character, string and Boolean",
12,(b) Represent positive integers in binary,
12,(c) Use of sign and magnitude and two�s complement to represent negative numbers in binary.,
12,(d) Addition and subtraction of binary integers.,
12,(e) Represent positive integers in hexadecimal,
12,(f) Convert positive integers between binary hexadecimal and denary.,
12,(g) Representation and normalisation of floating point numbers in binary.,
12,"(h) Floating point arithmetic, positive and negative numbers, addition and subtraction.",
12,"(i) Bitwise manipulation and masks: shifts, combining with AND, OR, and XOR",
12,(j) How character sets (ASCII and UNICODE) are used to represent text.,
13,(a) Arrays (of up to 3 dimensions),
13,(a) records,
13,(a)  lists,
13,(a) tuples,
13,(b) The following structures to store data: linked-list,
13,(b) The following structures to store data: graph (directed and undirected),
13,(b) The following structures to store data: stack,
13,(b) The following structures to store data: queue,
13,(b) The following structures to store data: tree,
13,(b) The following structures to store data: binary search tree,
13,(b) The following structures to store data: hash table.,
13,"(c) How to create, traverse, add data to and remove data from linked-list - procedural array approach",
13,"(c) How to create, traverse, add data to and remove data from graph (directed and undirected) - procedural array approach",
13,"(c) How to create, traverse, add data to and remove data from stack - procedural array approach",

13,"(c) How to create, traverse, add data to and remove data from queue - procedural array approach",
13,"(c) How to create, traverse, add data to and remove data from tree - procedural array approach",
13,"(c) How to create, traverse, add data to and remove data frombinary search tree - procedural array approach",
13,"(c) How to create, traverse, add data to and remove data from hash table. - procedural array approach",
13,"(c) How to create, traverse, add data to and remove data from linked-list - OO approach",
13,"(c) How to create, traverse, add data to and remove data from graph (directed and undirected) - OO approach",
13,"(c) How to create, traverse, add data to and remove data from stack - OO approach",
13,"(c) How to create, traverse, add data to and remove data from queue - OO approach",
13,"(c) How to create, traverse, add data to and remove data from tree - OO approach",
13,"(c) How to create, traverse, add data to and remove data frombinary search tree - OO approach",
13,"(c) How to create, traverse, add data to and remove data from hash table. - OO approach",
14,(a) Define problems using Boolean logic. See appendix 5e,
14,"(b) Manipulate Boolean expressions, including the use of Karnaugh maps to simplify Boolean expressions.",
14,"(c) Use the following rules to derive or simplify statements in Boolean algebra: De Morgan�s Laws, distribution, association, commutation, double negation",
14,(d) Using logic gate diagrams and truth tables. See appendix 5e,
14,"(e) The logic associated with D type flip flops, half and full adders",
